"Certified Utilities Net Generation by Prime Mover (MWh), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12
Utility Name,Plant Name,Community Name,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind Turbine,Total Net Generation,Station Service Consumption,Gross Generation,Source,Notes
Kodiak Electric Assn Inc,Port Lions,Kodiak,0,0,0,0,0,NA,NA,eia,"The KEA service area also includes: Port Lions, Chiniak, Womens Bay and Woody Island."
Kodiak Electric Assn Inc,Terror Lake,Kodiak,0,0,131121,0,131121,NA,NA,eia,"The KEA service area also includes: Port Lions, Chiniak, Womens Bay and Woody Island."
Kokhanok Village Council,Kokhanok,Kokhanok,0,317,NA,158,475,30,505,pce,NA
Kotzebue Electric Association,Kotzebue,Kotzebue,0,19650,NA,3025,22675,518,23193,pce,NA
"Koyukuk, City of",Koyukuk,Koyukuk,0,320,NA,0,320,NA,NA,pce,NA
Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk,0,1437,NA,0,1437,41,1478,pce,NA
Kwigillingok Power Company,Kwigillingok,Kwigillingok,0,1097,NA,6,1103,48,1151,pce,NA
Larsen Bay Utility Company,Larsen Bay,Larsen Bay,0,199,947,0,1146,19,1165,pce,NA
Levelock Electrical Coop,Levelock,Levelock,0,455,NA,0,455,41,496,pce,NA
Lime Village Electric Utility,Lime Village,Lime Village,0,73,NA,0,73,2,75,pce,NA
Manokotak Power Company,Manokotak,Manokotak,0,1374,NA,0,1374,58,1432,pce,NA
Mcgrath Light & Power,McGrath,McGrath,0,2754,NA,0,2754,63,2817,pce,NA
Metlakatla Power & Light,Centennial,Metlakatla,0,-188,0,0,-188,NA,NA,eia,NA
Metlakatla Power & Light,Chester Lake,Metlakatla,0,0,5452,0,5452,NA,NA,eia,NA
Metlakatla Power & Light,Purple Lake,Metlakatla,0,0,16157,0,16157,NA,NA,eia,NA
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,0,270,NA,0,270,0,270,pce,NA
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,0,298,NA,0,298,NA,NA,pce,NA
Middle Kuskokwim Electric,Red Devil,Red Devil,0,116,NA,0,116,2,118,pce,NA
Middle Kuskokwim Electric,Sleetmute,Sleetmute,0,256,NA,0,256,14,270,pce,NA
Middle Kuskokwim Electric,Stony River,Stony River,0,138,NA,0,138,2,140,pce,NA
Naknek Electric Association,Naknek,"Naknek, South Naknek, King Salmon",0,19344,NA,0,19344,589,19933,pce,NA
Napaskiak Electric Utility,Napaskiak,Napaskiak,0,776,NA,0,776,34,810,pce,NA
Naterkaq Light Plant (City of Chefornak),Chefornak,Chefornak,0,1846,NA,0,1846,45,1891,pce,NA
Native Village of Perryville,Perryville,Perryville,0,417,NA,36,453,7,460,pce,NA
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,0,389,NA,0,389,3,392,pce,NA
New Koliganek Village Council,Koliganek,Koliganek,0,656,NA,0,656,23,679,pce,NA
"Nikolai, City of",Nikolai,Nikolai,0,409,NA,0,409,23,432,pce,NA
Nome Joint Utility Systems,Snake River,Nome,0,34531,NA,0,34531,1419,35950,pce,NA
