"Certified Utilities Net Generation by Fuel Type (MWh), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Utility Name,Plant Name,Community Name,Oil,Gas,Coal,Hydro,Wind,Other,Oil (gallons),Gas (mcf),Coal (short tons),Source,Notes
TDX Adak Generating LLC,Adak,Adak,2681,0,0,NA,0,0,214285,0,0,pce,NA
TDX Corporation,Sand Point,Sand Point,3161,0,0,NA,0,0,230970,0,0,pce,NA
TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs,426,0,0,NA,0,0,35973,0,0,pce,NA
"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,399,0,0,NA,0,0,31579,0,0,pce,NA
Tuluksak Traditional,Tuluksak,Tuluksak,679,0,0,NA,0,0,56275,0,0,pce,NA
Tuntutuliak Community,Tuntutuliak,Tuntutuliak,795,0,0,NA,268,0,83625,0,0,pce,NA
Twin Hills Village Council,Twin Hills,Twin Hills,279,0,0,NA,0,0,30497,0,0,pce,NA
Umnak Power Company,Nikolski,Nikolski,188,0,0,NA,0,0,20620,0,0,pce,NA
Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet,3341,0,0,NA,996,0,233335,0,0,pce,NA
"Unalaska, City of",Dutch Harbor,Unalaska,45034,0,0,0,0,0,2941806,0,0,eia,NA
"Unalaska, City of",Unalaska Power Module,Unalaska,175,0,0,0,0,0,12726,0,0,eia,NA
Ungusraq Power Company,Newtok,Newtok,454,0,0,NA,0,0,43540,0,0,pce,NA
Venetie Village Electric,Venetie,Venetie,707,0,0,NA,0,0,75380,0,0,pce,NA
