"Certified Utilities Installed Capacity by Prime Mover by Plant (kW), 2013",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
Utility Name,Plant Name,Community Name,Total Capacity,Fossil Fuel Turbines,Internal Combustion,Hydroelectric,Wind Turbine,Other,Source,Notes
Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,179,0,179,0,0,0,AEA Village Assessment,NA
Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,223,0,223,0,0,0,AEA Village Assessment,NA
Middle Kuskokwim Electric,Red Devil,Red Devil,130,0,130,0,0,0,AEA Village Assessment,NA
Middle Kuskokwim Electric,Sleetmute,Sleetmute,323,0,323,0,0,0,AEA Village Assessment,NA
Middle Kuskokwim Electric,Stony River,Stony River,138,0,138,0,0,0,AEA Village Assessment,NA
Naknek Electric Association,Naknek,Naknek,9900,0,9900,0,0,0,EIA-F860,Provides power to South Naknek and King Salmon via intertie. Includes South Naknek's and King Salmon's data.
Napakiak Ircinraq,Napakiak,Napakiak,250,0,250,0,0,0,AEA Village Assessment,Purchases power from Bethel Utilities Corporation.
Naterkaq Light Plant (City of Chefornak),Chefornak,Chefornak,921,0,921,0,0,0,AEA Village Assessment,NA
Native Village of Perryville,Perryville,Perryville,497,0,473,0,24,0,"AEA Wind Program Manager, AEA Village Assessment",NA
Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon,300,0,300,0,0,0,AEA Village Assessment,NA
New Koliganek Village Council,Koliganek,Koliganek,420,0,420,0,0,0,AEA Village Assessment,NA
"Nikolai, City of",Nikolai,Nikolai,300,0,300,0,0,0,AEA Village Assessment,NA
Nome Joint Utility Systems,Snake River,Nome,18000,0,16200,0,1800,0,EIA-F860,NA
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,2700,0,2700,0,0,0,EIA-F860,NA
North Slope Borough Power & Light,Atqasuk,Atqasuk,3200,0,3200,0,0,0,EIA-F860,NA
North Slope Borough Power & Light,Kaktovik,Kaktovik,2600,0,2600,0,0,0,EIA-F860,NA
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,4600,0,4600,0,0,0,EIA-F860,NA
North Slope Borough Power & Light,Point Hope,Point Hope,2100,0,2100,0,0,0,EIA-F860,NA
North Slope Borough Power & Light,Point Lay,Point Lay,2400,0,2400,0,0,0,EIA-F860,NA
North Slope Borough Power & Light,Wainwright,Wainwright,3000,0,3000,0,0,0,EIA-F860,NA
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,708,0,708,0,0,0,AEA Village Assessment,NA
Nushagak Electric Cooperative,Dillingham,Dillingham,6600,0,6600,0,0,0,EIA-F860,Provides power to Aleknagik via intertie. Includes Aleknagik's data.
"Ouzinkie, City of",Ouzinkie,Ouzinkie,336,0,336,0,0,0,AEA Village Assessment,NA
Pedro Bay Village Council,Pedro Bay,Pedro Bay,211,0,211,0,0,0,AEA Village Assessment,NA
Pelican Utility,Pelican,Pelican,1000,0,1000,0,0,0,EIA-F860,NA
"Petersburg, City of",Blind Slough,Petersburg,14800,0,13200,1600,0,0,EIA-F860,NA
Pilot Point Electric Utility,Pilot Point,Pilot Point,246,0,246,0,0,0,AEA Village Assessment,NA
"Platinum, City of",Platinum,Platinum,129,0,129,0,0,0,AEA Village Assessment,NA
Port Heiden Utilities,Port Heiden,Port Heiden,369,0,369,0,0,0,AEA Village Assessment,NA
Puvurnaq Power Company,Kongiganak,Kongiganak,1375,0,925,0,450,0,AEA Village Assessment,NA
Rampart Village Council,Rampart,Rampart,367,0,367,0,0,0,AEA Village Assessment,NA
"Ruby, City of",Ruby,Ruby,464,0,464,0,0,0,AEA Village Assessment,NA
"Saint George, City of",Saint George,Saint George,980,0,980,0,0,0,AEA Village Assessment,NA
Saint Paul Municipal Electric,Saint Paul,Saint Paul,3495,0,2620,0,675,200,"AEA Village Assessment, AEA Wind Program Manager",NA
"Seward, City of",Seward,Seward,15600,0,15600,0,0,0,EIA-F860,"The City of Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
"Sitka, City & Borough of",Blue Lake,Sitka,7000,0,0,7000,0,0,EIA-F860,NA
"Sitka, City & Borough of",Green Lake,Sitka,18600,0,0,18600,0,0,EIA-F860,NA
"Sitka, City & Borough of",Jarvis Street,Sitka,12100,0,12100,0,0,0,EIA-F860,NA
Southeast Alaska Power Agency,Tyee Lake,Ketchikan,20000,0,0,20000,0,0,FERC,NA
"Southfork Hydro, LLC",South Fork Hydro,Wasilla,1200,0,0,1200,0,0,AEA,"Independent Power Producer located in Eagle River sells power to Matanuska Electric Association.
"
Stevens Village Ira Council,Stevens Village,Stevens Village,263,0,263,0,0,0,AEA Village Assessment,NA
Sustainable Energy Company of AK Peninsula,Pilot Point,Port Heiden,20,0,0,0,20,0,AEA Wind Program Manager,NA
Takotna Community Assoc Inc,Takotna,Takotna,216,0,216,0,0,0,AEA Village Assessment,NA
